Date,Price,Open,High,Low,Vol.,Change %
12/1/2013,37.6,38.0,38.9,37.6,30.29K,-4.33%
12/8/2013,37.0,37.6,38.0,37.0,23.73K,-1.60%
12/15/2013,37.0,37.2,37.5,36.1,24.17K,0.00%
12/22/2013,36.8,36.8,36.8,36.4,5.12K,-0.54%
12/29/2013,37.0,36.9,38.5,36.7,92.51K,0.54%
1/5/2014,37.1,37.0,38.5,36.8,82.69K,0.27%
1/12/2014,37.0,37.0,38.0,36.7,99.53K,-0.27%
1/19/2014,36.7,37.0,37.5,33.0,1.34M,-0.81%
1/26/2014,36.5,36.9,37.0,36.0,37.49K,-0.54%
2/2/2014,38.5,36.1,38.5,36.0,923.95K,5.48%
2/9/2014,42.5,37.3,42.7,37.2,1.03M,10.39%
2/16/2014,42.0,42.5,43.5,41.4,2.37M,-1.18%
2/23/2014,44.9,42.1,44.9,42.0,150.29K,6.90%
3/2/2014,45.0,44.8,45.5,42.7,109.46K,0.22%
3/9/2014,44.5,45.0,45.0,43.4,291.53K,-1.11%
3/16/2014,44.6,44.0,44.9,43.5,95.73K,0.22%
3/23/2014,46.9,44.0,47.4,44.0,115.09K,5.16%
3/30/2014,49.5,46.5,49.9,45.0,135.32K,5.54%
4/6/2014,48.0,49.1,49.8,46.1,124.18K,-3.03%
4/13/2014,47.0,46.0,47.5,41.5,8.66K,-2.08%
4/20/2014,48.5,44.0,49.0,43.2,74.47K,3.19%
4/27/2014,48.0,47.1,49.2,47.0,173.77K,-1.03%
5/4/2014,48.0,48.9,49.1,46.4,72.13K,0.00%
5/11/2014,48.0,48.0,49.0,46.0,28.48K,0.00%
5/18/2014,48.9,47.8,48.9,46.0,31.94K,1.88%
5/25/2014,48.7,48.7,48.8,45.0,63.21K,-0.41%
6/1/2014,47.4,48.5,48.7,46.3,11.09K,-2.67%
6/8/2014,48.0,45.6,48.0,45.6,191.18K,1.27%
6/15/2014,46.1,48.0,48.9,45.9,35.81K,-3.96%
6/22/2014,48.0,47.9,48.0,46.0,29.76K,4.12%
6/29/2014,49.6,47.0,50.0,47.0,140.00K,3.33%
7/6/2014,56.5,47.6,57.2,47.1,3.10M,13.91%
7/13/2014,56.0,56.9,57.3,53.8,430.69K,-0.88%
7/20/2014,54.9,56.0,57.0,54.0,207.33K,-1.96%
7/27/2014,56.5,54.5,57.2,53.6,223.55K,2.91%
8/3/2014,55.5,55.5,57.0,54.6,115.29K,-1.77%
8/10/2014,54.9,55.0,56.2,54.0,231.96K,-1.08%
8/17/2014,54.0,54.9,56.0,53.6,180.51K,-1.64%
8/24/2014,55.0,54.0,55.8,53.0,60.50K,1.85%
8/31/2014,53.5,54.9,54.9,53.5,59.86K,-2.73%
9/7/2014,54.5,53.4,55.5,50.5,35.30K,1.87%
9/14/2014,53.5,54.5,54.5,52.6,34.61K,-1.83%
9/21/2014,51.9,53.0,53.5,51.3,78.59K,-2.99%
9/28/2014,51.5,52.0,54.0,51.0,278.06K,-0.77%
10/5/2014,51.0,52.0,53.4,51.0,84.54K,-0.97%
10/12/2014,49.5,51.0,51.5,49.5,112.33K,-2.94%
10/19/2014,50.5,50.0,51.0,49.5,125.41K,2.02%
10/26/2014,50.5,50.1,51.9,49.8,119.48K,0.00%
11/2/2014,50.0,50.0,51.0,49.8,140.63K,-0.99%
11/9/2014,50.0,50.0,51.0,49.6,129.86K,0.00%
